elapsed time,timestamp,topic,value
2.4829269800000002,1747720533.469769270,/odom.twist.twist.angular.x,0
2.50294338,1747720533.489785670,/odom.twist.twist.angular.x,0
2.5229406560000003,1747720533.509782946,/odom.twist.twist.angular.x,0
2.542921356,1747720533.529763646,/odom.twist.twist.angular.x,0
2.5629492220000003,1747720533.549791512,/odom.twist.twist.angular.x,0
2.582945016,1747720533.569787306,/odom.twist.twist.angular.x,0
2.602948151,1747720533.589790441,/odom.twist.twist.angular.x,0
2.622950989,1747720533.609793279,/odom.twist.twist.angular.x,0
2.642917777,1747720533.629760067,/odom.twist.twist.angular.x,0
2.662921565,1747720533.649763855,/odom.twist.twist.angular.x,0
2.682955406,1747720533.669797696,/odom.twist.twist.angular.x,0
2.702952933,1747720533.689795223,/odom.twist.twist.angular.x,0
2.722925144,1747720533.709767434,/odom.twist.twist.angular.x,0
2.7429226360000003,1747720533.729764926,/odom.twist.twist.angular.x,0
2.762949549,1747720533.749791839,/odom.twist.twist.angular.x,0
2.782947538,1747720533.769789828,/odom.twist.twist.angular.x,0
2.802955911,1747720533.789798201,/odom.twist.twist.angular.x,0
2.822916862,1747720533.809759152,/odom.twist.twist.angular.x,0
2.8429206909999998,1747720533.829762981,/odom.twist.twist.angular.x,0
2.862919882,1747720533.849762172,/odom.twist.twist.angular.x,0
2.882927123,1747720533.869769413,/odom.twist.twist.angular.x,0
2.902917823,1747720533.889760113,/odom.twist.twist.angular.x,0
2.922915808,1747720533.909758098,/odom.twist.twist.angular.x,0
2.94291992,1747720533.929762210,/odom.twist.twist.angular.x,0
2.962921417,1747720533.949763707,/odom.twist.twist.angular.x,0
2.982995054,1747720533.969837344,/odom.twist.twist.angular.x,0
3.002952798,1747720533.989795088,/odom.twist.twist.angular.x,0
3.022955764,1747720534.009798054,/odom.twist.twist.angular.x,0
3.042950197,1747720534.029792487,/odom.twist.twist.angular.x,0
3.062935578,1747720534.049777868,/odom.twist.twist.angular.x,0
3.082944456,1747720534.069786746,/odom.twist.twist.angular.x,0
3.102962025,1747720534.089804315,/odom.twist.twist.angular.x,0
3.122944619,1747720534.109786909,/odom.twist.twist.angular.x,0
3.142918694,1747720534.129760984,/odom.twist.twist.angular.x,0
3.162914207,1747720534.149756497,/odom.twist.twist.angular.x,0
3.182915765,1747720534.169758055,/odom.twist.twist.angular.x,0
3.202916387,1747720534.189758677,/odom.twist.twist.angular.x,0
3.222914628,1747720534.209756918,/odom.twist.twist.angular.x,0
3.242941014,1747720534.229783304,/odom.twist.twist.angular.x,0
3.262927371,1747720534.249769661,/odom.twist.twist.angular.x,0
3.28294594,1747720534.269788230,/odom.twist.twist.angular.x,0
3.3029354890000002,1747720534.289777779,/odom.twist.twist.angular.x,0
3.322958621,1747720534.309800911,/odom.twist.twist.angular.x,0
3.34296364,1747720534.329805930,/odom.twist.twist.angular.x,0
3.362924222,1747720534.349766512,/odom.twist.twist.angular.x,0
3.38294522,1747720534.369787510,/odom.twist.twist.angular.x,0
3.402933627,1747720534.389775917,/odom.twist.twist.angular.x,0
3.422960572,1747720534.409802862,/odom.twist.twist.angular.x,0
3.442949157,1747720534.429791447,/odom.twist.twist.angular.x,0
3.462939471,1747720534.449781761,/odom.twist.twist.angular.x,0
3.482943049,1747720534.469785339,/odom.twist.twist.angular.x,0
3.502946574,1747720534.489788864,/odom.twist.twist.angular.x,0
3.522930473,1747720534.509772763,/odom.twist.twist.angular.x,0
3.5429409080000003,1747720534.529783198,/odom.twist.twist.angular.x,0
3.562920789,1747720534.549763079,/odom.twist.twist.angular.x,0
3.582946796,1747720534.569789086,/odom.twist.twist.angular.x,0
3.602932939,1747720534.589775229,/odom.twist.twist.angular.x,0
3.622934236,1747720534.609776526,/odom.twist.twist.angular.x,0
3.642945454,1747720534.629787744,/odom.twist.twist.angular.x,0
3.66295305,1747720534.649795340,/odom.twist.twist.angular.x,0
3.682955647,1747720534.669797937,/odom.twist.twist.angular.x,0
3.702917989,1747720534.689760279,/odom.twist.twist.angular.x,0
3.722924964,1747720534.709767254,/odom.twist.twist.angular.x,0
3.7429400260000003,1747720534.729782316,/odom.twist.twist.angular.x,0
3.762935406,1747720534.749777696,/odom.twist.twist.angular.x,0
3.7829415,1747720534.769783790,/odom.twist.twist.angular.x,0
